open,high,low,close,date
1525.42,1529.39,1518.73,1525.42,"Sep 26, 2007"
1531.38,1532.46,1525.81,1531.38,"Sep 27, 2007"
1526.75,1533.74,1521.99,1526.75,"Sep 28, 2007"
1547.04,1548.86,1527.25,1547.04,"Oct 1, 2007"
1546.63,1548.01,1540.37,1546.63,"Oct 2, 2007"
1539.59,1545.84,1536.34,1539.59,"Oct 3, 2007"
1542.84,1544.02,1537.63,1542.84,"Oct 4, 2007"
1557.59,1561.91,1543.84,1557.59,"Oct 5, 2007"
1552.58,1555.99,1549.00,1552.58,"Oct 8, 2007"
1565.15,1565.26,1551.82,1565.15,"Oct 9, 2007"
1562.47,1565.42,1555.46,1562.47,"Oct 10, 2007"
1554.41,1576.09,1547.00,1554.41,"Oct 11, 2007"
1561.80,1563.03,1554.09,1561.80,"Oct 12, 2007"
1548.71,1564.74,1540.81,1548.71,"Oct 15, 2007"
1538.53,1547.81,1536.36,1538.53,"Oct 16, 2007"
1541.24,1550.66,1526.01,1541.24,"Oct 17, 2007"
1540.08,1542.79,1531.76,1540.08,"Oct 18, 2007"
1500.63,1540.00,1500.26,1500.63,"Oct 19, 2007"
1506.33,1508.06,1490.40,1506.33,"Oct 22, 2007"
1519.59,1520.01,1503.61,1519.59,"Oct 23, 2007"
1515.88,1517.06,1489.56,1515.88,"Oct 24, 2007"
1514.40,1523.24,1500.46,1514.40,"Oct 25, 2007"
1535.28,1535.53,1520.18,1535.28,"Oct 26, 2007"
1540.98,1544.67,1536.55,1540.98,"Oct 29, 2007"
1531.02,1539.42,1529.55,1531.02,"Oct 30, 2007"
1549.38,1552.76,1529.40,1549.38,"Oct 31, 2007"
1508.44,1545.79,1506.84,1508.44,"Nov 1, 2007"
1509.65,1512.93,1493.48,1509.65,"Nov 2, 2007"
1502.17,1510.84,1490.24,1502.17,"Nov 5, 2007"
1520.27,1520.77,1499.07,1520.27,"Nov 6, 2007"
1475.62,1512.69,1475.04,1475.62,"Nov 7, 2007"
1474.77,1482.28,1451.01,1474.77,"Nov 8, 2007"
1453.70,1473.85,1449.90,1453.70,"Nov 9, 2007"
1439.18,1464.53,1438.54,1439.18,"Nov 12, 2007"
1481.05,1481.37,1441.35,1481.05,"Nov 13, 2007"
1470.58,1492.14,1466.47,1470.58,"Nov 14, 2007"
1451.15,1472.42,1444.17,1451.15,"Nov 15, 2007"
1458.74,1461.92,1444.71,1458.74,"Nov 16, 2007"
1433.27,1456.70,1430.42,1433.27,"Nov 19, 2007"
1439.70,1452.45,1420.24,1439.70,"Nov 20, 2007"
1416.77,1436.02,1415.69,1416.77,"Nov 21, 2007"
1440.70,1440.86,1417.62,1440.70,"Nov 23, 2007"
1407.22,1445.56,1406.10,1407.22,"Nov 26, 2007"
1428.23,1429.15,1407.84,1428.23,"Nov 27, 2007"
1469.02,1471.62,1432.95,1469.02,"Nov 28, 2007"
1469.72,1473.76,1458.36,1469.72,"Nov 29, 2007"
1481.14,1488.94,1471.83,1481.14,"Nov 30, 2007"
1472.42,1481.16,1470.43,1472.42,"Dec 3, 2007"
1462.79,1471.34,1460.66,1462.79,"Dec 4, 2007"
1485.01,1486.09,1465.22,1485.01,"Dec 5, 2007"
1507.34,1508.02,1482.19,1507.34,"Dec 6, 2007"
1504.66,1510.42,1502.66,1504.66,"Dec 7, 2007"
1515.96,1518.27,1504.96,1515.96,"Dec 10, 2007"
1477.65,1522.18,1476.88,1477.65,"Dec 11, 2007"
1486.59,1511.96,1469.94,1486.59,"Dec 12, 2007"
1488.41,1489.30,1469.21,1488.41,"Dec 13, 2007"
1467.95,1485.90,1467.83,1467.95,"Dec 14, 2007"
1445.90,1465.05,1445.44,1445.90,"Dec 17, 2007"
1454.98,1459.98,1436.24,1454.98,"Dec 18, 2007"
1453.00,1464.42,1445.96,1453.00,"Dec 19, 2007"
1460.12,1461.34,1447.27,1460.12,"Dec 20, 2007"
1484.46,1485.36,1468.84,1484.46,"Dec 21, 2007"
1496.45,1497.63,1484.55,1496.45,"Dec 24, 2007"
1497.66,1498.85,1488.28,1497.66,"Dec 26, 2007"
1476.37,1495.05,1475.91,1476.37,"Dec 27, 2007"
1478.49,1488.01,1471.70,1478.49,"Dec 28, 2007"
1468.36,1475.83,1465.13,1468.36,"Dec 31, 2007"
1447.16,1471.71,1442.24,1447.16,"Jan 2, 2008"
1447.16,1456.80,1443.89,1447.16,"Jan 3, 2008"
